"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID","l2_tex_read_hit_rate","l2_tex_read_transactions","l2_tex_write_hit_rate","l2_tex_write_transactions"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,,%,,%,
172564.803463,0.003423,,,,,,,,,,0.001953,0.557215,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5263,,,,
172564.810055,0.030622,,,,,,,,,,9.000000,287.017912,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5267,,,,
172564.844645,0.003519,,,,,,,,,,0.001953,0.542014,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5271,,,,
172564.851300,0.030431,,,,,,,,,,9.000000,288.819378,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5275,,,,
172564.885826,0.003425,,,,,,,,,,0.001953,0.556890,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5283,,,,
172564.892386,0.030495,,,,,,,,,,9.000000,288.213232,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5287,,,,
172564.926849,0.003520,,,,,,,,,,0.001953,0.541860,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5291,,,,
172564.933536,0.031199,,,,,,,,,,9.000000,281.709750,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5295,,,,
172564.968703,0.003839,,,,,,,,,,0.001953,0.496835,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5299,,,,
172564.975678,0.017856,,,,,,,,,,4.500000,246.109501,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5303,,,,
172564.997821,0.003264,,,,,,,,,,0.000977,0.292180,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5307,,,,
172565.004253,0.010847,,,,,,,,,,2.250000,202.568971,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5311,,,,
172565.019100,0.003840,,,,,,,,,,0.000977,0.248353,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5315,,,,
172565.026300,0.011359,,,,,,,,,,2.250000,193.438298,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5319,,,,
172565.040795,0.003232,,,,,,,,,,0.000977,0.295072,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5327,,,,
172565.047195,0.008063,,,,,,,,,,1.125000,136.256085,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5331,,,,
172565.059226,0.003072,,,,,,,,,,0.000488,0.155220,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5335,,,,
172565.065466,0.004895,,,,,,,,,,0.562500,112.219899,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5339,,,,
172565.073498,0.003071,,,,,,,,,,0.000488,0.155271,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5343,,,,
172565.079705,0.004288,,,,,,,,,,0.281250,64.052753,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5347,,,,
172565.087129,0.003072,,,,,,,,,,0.000244,0.077610,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5351,,,,
172565.093336,0.003712,,,,,,,,,,0.140625,36.995986,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5355,,,,
172565.100184,0.003360,,,,,,,,,,0.000244,0.070958,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5359,,,,
172565.106712,0.003264,,,,,,,,,,0.006592,1.972213,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5363,,,,
