"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID","l2_tex_read_transactions"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,,
33590.521222,0.006592,4,16,1,32,8,1,62,9.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>)",4871,73728
33599.936748,0.004640,576,1,1,64,1,1,20,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>>(int, float, float)",4879,36864
33609.259284,0.004096,576,1,1,64,1,1,16,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)",4885,18432
33618.515228,0.743703,200704,1,1,64,1,1,20,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","_ZN2at6native29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_18TensorIteratorBaseET_S5_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_",4894,12845056
33622.456426,0.001408,,,,,,,,,,0.000488,0.338663,"Device",,"Tesla V100-DGXS-32GB (0)","1","7","[CUDA memset]",4909,
33628.589883,0.271772,128,4,1,32,16,1,28,0.015625,2.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_14func_wrapper_tIfZNS0_11sum_functorIfffEclERNS_14TensorIteratorEEUlffE_EEjfLi4EEEEEvT1_",4911,6422656
33638.222431,0.003327,1,1,1,64,1,1,20,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>>(int, float, float)",4920,32
33647.510023,0.003167,1,1,1,64,1,1,16,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)",4926,16
33656.971341,0.007008,2,32,1,32,4,1,40,8.500000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",4942,9216
33665.328417,2.579998,64,14,7,256,1,1,126,48.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",4944,80542259
33675.123619,0.470426,196,32,1,256,1,1,64,24.125000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)",4957,7894800
33682.536515,0.990163,392,32,1,256,1,1,64,16.500000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>)",4958,6422528
33690.443453,2.931034,1,2,36,64,1,1,126,8.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","volta_sgemm_64x64_nt",4966,28901376
33700.332445,0.005536,2,16,1,32,8,1,62,9.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>)",4968,36864
33707.395779,0.004159,288,1,1,64,1,1,20,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>>(int, float, float)",4976,18432
33714.519719,0.003615,288,1,1,64,1,1,16,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)",4982,9216
